100;2147;757;380;299
300;22684;2629;1675;862
500;61037;5194;2809;1388
700;127220;7523;4133;1922
900;199978;8854;5554;2398
1100;306594;12161;6853;2865
1300;409416;14678;8311;3332
1500;554299;17262;9559;3783
123;3761;694;370;262
124;3367;721;383;264
125;3581;804;349;266
